well_no,SampleID,Well,SMILES,canonSMILES,SMarea,SMareaAbs,Parea,PareaAbs,STDarea,STDareaAbs,Uarea,UareaAbs,corrSMarea,corrParea,corrSTDarea,P/SM+P,P/STD,corrP/SM+P,corrP/STD
1,AC_EXP-25-KA8152_Vial_1-A,A1,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,0,0,1.14230361905669,59.0962648197878,0,0,0,0,0,0.4725808865516915,0,1.0,0,1.0,0
2,AC_EXP-25-KA8152_Vial_2-A,A2,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,0,0,1.22924842795067,64.2245265248413,0,0,0,0,0,0.5085507059435929,0,1.0,0,1.0,0
3,AC_EXP-25-KA8152_Vial_3-A,A3,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,0,0,1.19266608770919,61.3319873631027,0,0,0,0,0,0.49341627539899674,0,1.0,0,1.0,0
4,AC_EXP-25-KA8152_Vial_4-A,A4,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,0,0,1.2468979875598,62.3788833433655,0,0,0,0,0,0.5158524813981935,0,1.0,0,1.0,0
5,AC_EXP-25-KA8152_Vial_5-A,A5,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,0,0,1.44251498707111,63.2254123329415,0,0,0,0,0,0.5967809259127765,0,1.0,0,1.0,0
6,AC_EXP-25-KA8152_Vial_6-A,A6,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,0,0,1.12383933602543,59.3632697791623,0,0,0,0,0,0.46494205297112384,0,1.0,0,1.0,0
7,AC_EXP-25-KA8152_Vial_7-A,A7,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,0,0,1.32068445698616,65.7873868559179,0,0,0,0,0,0.5463785819508855,0,1.0,0,1.0,0
8,AC_EXP-25-KA8152_Vial_8-A,A8,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,0,0,2.41716000702399,63.8610899365547,0,0,0,0,0,1.0,0,1.0,0,1.0,0
9,No Data.,A9,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
10,No Data.,A10,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
11,No Data.,A11,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
12,No Data.,A12,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
13,AC_EXP-25-KA8152_Vial_1-B,B1,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,0,0,1.11273735215327,57.607984512524,0,0,0,0,0,0.4603490662263908,0,1.0,0,1.0,0
14,AC_EXP-25-KA8152_Vial_2-B,B2,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,0,0,1.22295735082392,60.8258735973314,0,0,0,0,0,0.5059480329271319,0,1.0,0,1.0,0
15,AC_EXP-25-KA8152_Vial_3-B,B3,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,0,0,1.08792934633418,57.9506516148689,0,0,0,0,0,0.4500857796640611,0,1.0,0,1.0,0
16,AC_EXP-25-KA8152_Vial_4-B,B4,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,0,0,1.21913114690578,57.4769633931746,0,0,0,0,0,0.5043650992748203,0,1.0,0,1.0,0
17,AC_EXP-25-KA8152_Vial_5-B,B5,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,0,0,1.0857069946483,58.3291649417321,0,0,0,0,0,0.44916637355134126,0,1.0,0,1.0,0
18,AC_EXP-25-KA8152_Vial_6-B,B6,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,0,0,1.09742200048659,56.7039251076992,0,0,0,0,0,0.4540129727852552,0,1.0,0,1.0,0
19,AC_EXP-25-KA8152_Vial_7-B,B7,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,0,0,1.29009973583296,58.7435960544068,0,0,0,0,0,0.5337254182942288,0,1.0,0,1.0,0
20,AC_EXP-25-KA8152_Vial_8-B,B8,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,0,0,2.22602038382986,55.5077314021507,0,0,0,0,0,0.920923884790953,0,1.0,0,1.0,0
21,No Data.,B9,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
22,No Data.,B10,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
23,No Data.,B11,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
24,No Data.,B12,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
25,AC_EXP-25-KA8152_Vial_1-C,C1,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,0,0,1.24281068265561,60.3438473797825,0,0,0,0,0,0.5141615280097903,0,1.0,0,1.0,0
26,AC_EXP-25-KA8152_Vial_2-C,C2,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,0,0,1.20387280058588,58.4171175807522,0,0,0,0,0,0.4980525894386651,0,1.0,0,1.0,0
27,AC_EXP-25-KA8152_Vial_3-C,C3,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,0,0,1.37785262767659,60.1047515574376,0,0,0,0,0,0.5700295485912013,0,1.0,0,1.0,0
28,AC_EXP-25-KA8152_Vial_4-C,C4,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,0,0,1.1662992376507,59.6213651821224,0,0,0,0,0,0.4825080814929786,0,1.0,0,1.0,0
29,AC_EXP-25-KA8152_Vial_5-C,C5,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,0,0,1.2691132180147,58.3924889418593,0,0,0,0,0,0.5250431143684334,0,1.0,0,1.0,0
30,AC_EXP-25-KA8152_Vial_6-C,C6,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,0,0,1.17251029861825,61.2795591077565,0,0,0,0,0,0.48507765113234935,0,1.0,0,1.0,0
31,AC_EXP-25-KA8152_Vial_7-C,C7,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,0,0,1.32095755643441,66.5253996379937,0,0,0,0,0,0.5464915655545595,0,1.0,0,1.0,0
32,No Data.,C8,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
33,No Data.,C9,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
34,No Data.,C10,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
35,No Data.,C11,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
36,No Data.,C12,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
37,No Data.,D1,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
38,No Data.,D2,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
39,No Data.,D3,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
40,No Data.,D4,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
41,No Data.,D5,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
42,No Data.,D6,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
43,No Data.,D7,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
44,No Data.,D8,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
45,No Data.,D9,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
46,No Data.,D10,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
47,No Data.,D11,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
48,No Data.,D12,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
49,No Data.,E1,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
50,No Data.,E2,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
51,No Data.,E3,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
52,No Data.,E4,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
53,No Data.,E5,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
54,No Data.,E6,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
55,No Data.,E7,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
56,No Data.,E8,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
57,No Data.,E9,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
58,No Data.,E10,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
59,No Data.,E11,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
60,No Data.,E12,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
61,No Data.,F1,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
62,No Data.,F2,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
63,No Data.,F3,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
64,No Data.,F4,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
65,No Data.,F5,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
66,No Data.,F6,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
67,No Data.,F7,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
68,No Data.,F8,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
69,No Data.,F9,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
70,No Data.,F10,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
71,No Data.,F11,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
72,No Data.,F12,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
73,No Data.,G1,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
74,No Data.,G2,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
75,No Data.,G3,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
76,No Data.,G4,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
77,No Data.,G5,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
78,No Data.,G6,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
79,No Data.,G7,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
80,No Data.,G8,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
81,No Data.,G9,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
82,No Data.,G10,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
83,No Data.,G11,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
84,No Data.,G12,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
85,No Data.,H1,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
86,No Data.,H2,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
87,No Data.,H3,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
88,No Data.,H4,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
89,No Data.,H5,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
90,No Data.,H6,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
91,No Data.,H7,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
92,No Data.,H8,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
93,No Data.,H9,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
94,No Data.,H10,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
95,No Data.,H11,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
96,No Data.,H12,,,0,0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0
