Well,Desired Product SMILES,Limiting Reactant SMILES,InternalSTD SMILES,Byproduct1 SMILES,byproduct2 smiles, byproduct3 smiles, byproduct1 name, byproduct3 name
A1,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,BrC1=CC2=CC=CC=C2N=C1,C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=CC=CC=C1,OCC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1, OC1=CC2=CC=CC=C2N=C1,, dimer,
A2,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,BrC1=CC2=CC=CC=C2N=C1,C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=CC=CC=C1,OCC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1, OC1=CC2=CC=CC=C2N=C1,,,
A3,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,BrC1=CC2=CC=CC=C2N=C1,C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=CC=CC=C1,OCC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1, OC1=CC2=CC=CC=C2N=C1,,,
A4,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,BrC1=CC2=CC=CC=C2N=C1,C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=CC=CC=C1,OCC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1, OC1=CC2=CC=CC=C2N=C1,,,
A5,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,BrC1=CC2=CC=CC=C2N=C1,C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=CC=CC=C1,OCC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1, OC1=CC2=CC=CC=C2N=C1,,,
A6,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,BrC1=CC2=CC=CC=C2N=C1,C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=CC=CC=C1,OCC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1, OC1=CC2=CC=CC=C2N=C1,,,
A7,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,BrC1=CC2=CC=CC=C2N=C1,C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=CC=CC=C1,OCC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1, OC1=CC2=CC=CC=C2N=C1,,,
A8,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,BrC1=CC2=CC=CC=C2N=C1,C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=CC=CC=C1,OCC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1, OC1=CC2=CC=CC=C2N=C1,,,
A9,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,BrC1=CC2=CC=CC=C2N=C1,C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=CC=CC=C1,OCC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1, OC1=CC2=CC=CC=C2N=C1,,,
A10,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,BrC1=CC2=CC=CC=C2N=C1,C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=CC=CC=C1,OCC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1, OC1=CC2=CC=CC=C2N=C1,,,
A11,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,BrC1=CC2=CC=CC=C2N=C1,C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=CC=CC=C1,OCC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1, OC1=CC2=CC=CC=C2N=C1,,,
A12,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,BrC1=CC2=CC=CC=C2N=C1,C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=CC=CC=C1,OCC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1, OC1=CC2=CC=CC=C2N=C1,,,
B1,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,BrC1=CC2=CC=CC=C2N=C1,C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=CC=CC=C1,C1=CC2=CC=CC=C2N=C1,OCC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1, OC1=CC2=CC=CC=C2N=C1, reduced,
B2,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,BrC1=CC2=CC=CC=C2N=C1,C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=CC=CC=C1,C1=CC2=CC=CC=C2N=C1,OCC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1, OC1=CC2=CC=CC=C2N=C1,,
B3,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,BrC1=CC2=CC=CC=C2N=C1,C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=CC=CC=C1,C1=CC2=CC=CC=C2N=C1,OCC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1, OC1=CC2=CC=CC=C2N=C1,,
B4,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,BrC1=CC2=CC=CC=C2N=C1,C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=CC=CC=C1,C1=CC2=CC=CC=C2N=C1,OCC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1, OC1=CC2=CC=CC=C2N=C1,,
B5,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,BrC1=CC2=CC=CC=C2N=C1,C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=CC=CC=C1,C1=CC2=CC=CC=C2N=C1,OCC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1, OC1=CC2=CC=CC=C2N=C1,,
B6,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,BrC1=CC2=CC=CC=C2N=C1,C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=CC=CC=C1,C1=CC2=CC=CC=C2N=C1,OCC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1, OC1=CC2=CC=CC=C2N=C1,,
B7,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,BrC1=CC2=CC=CC=C2N=C1,C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=CC=CC=C1,C1=CC2=CC=CC=C2N=C1,OCC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1, OC1=CC2=CC=CC=C2N=C1,,
B8,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,BrC1=CC2=CC=CC=C2N=C1,C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=CC=CC=C1,C1=CC2=CC=CC=C2N=C1,OCC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1, OC1=CC2=CC=CC=C2N=C1,,
B9,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,BrC1=CC2=CC=CC=C2N=C1,C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=CC=CC=C1,C1=CC2=CC=CC=C2N=C1,OCC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1, OC1=CC2=CC=CC=C2N=C1,,
B10,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,BrC1=CC2=CC=CC=C2N=C1,C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=CC=CC=C1,C1=CC2=CC=CC=C2N=C1,OCC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1, OC1=CC2=CC=CC=C2N=C1,,
B11,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,BrC1=CC2=CC=CC=C2N=C1,C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=CC=CC=C1,C1=CC2=CC=CC=C2N=C1,OCC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1, OC1=CC2=CC=CC=C2N=C1,,
B12,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,BrC1=CC2=CC=CC=C2N=C1,C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=CC=CC=C1,C1=CC2=CC=CC=C2N=C1,OCC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1, OC1=CC2=CC=CC=C2N=C1,,
C1,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,BrC1=CC2=CC=CC=C2N=C1,C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=CC=CC=C1,OCC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1, O=CC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1,,,
C2,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,BrC1=CC2=CC=CC=C2N=C1,C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=CC=CC=C1,OCC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1, O=CC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1,,,
C3,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,BrC1=CC2=CC=CC=C2N=C1,C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=CC=CC=C1,OCC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1, O=CC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1,,,
C4,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,BrC1=CC2=CC=CC=C2N=C1,C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=CC=CC=C1,OCC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1, O=CC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1,,,
C5,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,BrC1=CC2=CC=CC=C2N=C1,C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=CC=CC=C1,OCC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1, O=CC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1,,,
C6,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,BrC1=CC2=CC=CC=C2N=C1,C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=CC=CC=C1,OCC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1, O=CC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1,,,
C7,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,BrC1=CC2=CC=CC=C2N=C1,C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=CC=CC=C1,OCC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1, O=CC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1,,,
C8,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,BrC1=CC2=CC=CC=C2N=C1,C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=CC=CC=C1,OCC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1, O=CC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1,,,
C9,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,BrC1=CC2=CC=CC=C2N=C1,C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=CC=CC=C1,OCC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1, O=CC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1,,,
C10,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,BrC1=CC2=CC=CC=C2N=C1,C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=CC=CC=C1,OCC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1, O=CC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1,,,
C11,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,BrC1=CC2=CC=CC=C2N=C1,C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=CC=CC=C1,OCC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1, O=CC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1,,,
C12,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,BrC1=CC2=CC=CC=C2N=C1,C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=CC=CC=C1,OCC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1, O=CC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1,,,
D1,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,BrC1=CC2=CC=CC=C2N=C1,C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=CC=CC=C1,OCC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1, O=CC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1,,,
D2,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,BrC1=CC2=CC=CC=C2N=C1,C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=CC=CC=C1,OCC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1, O=CC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1,,,
D3,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,BrC1=CC2=CC=CC=C2N=C1,C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=CC=CC=C1,OCC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1, O=CC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1,,,
D4,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,BrC1=CC2=CC=CC=C2N=C1,C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=CC=CC=C1,OCC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1, O=CC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1,,,
D5,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,BrC1=CC2=CC=CC=C2N=C1,C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=CC=CC=C1,OCC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1, O=CC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1,,,
D6,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,BrC1=CC2=CC=CC=C2N=C1,C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=CC=CC=C1,OCC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1, O=CC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1,,,
D7,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,BrC1=CC2=CC=CC=C2N=C1,C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=CC=CC=C1,OCC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1, O=CC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1,,,
D8,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,BrC1=CC2=CC=CC=C2N=C1,C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=CC=CC=C1,OCC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1, O=CC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1,,,
D9,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,BrC1=CC2=CC=CC=C2N=C1,C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=CC=CC=C1,OCC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1, O=CC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1,,,
D10,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,BrC1=CC2=CC=CC=C2N=C1,C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=CC=CC=C1,OCC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1, O=CC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1,,,
D11,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,BrC1=CC2=CC=CC=C2N=C1,C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=CC=CC=C1,OCC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1, O=CC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1,,,
D12,OCC1=COC(C2=CC(C=CC=C3)=C3N=C2)=N1,BrC1=CC2=CC=CC=C2N=C1,C1(N(CC2=CC=CC=C2)CC3=CC=CC=C3)=CC=CC=C1,OCC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1, O=CC1=C(C2=CN=C(C=CC=C3)C3=C2)OC(C4=CC5=C(N=C4)C=CC=C5)=N1,,,
